,Unnamed: 0,MB Genre,Artist Name,Release,Song Title,Artist Location,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
0,0,hip hop,Casual,Fear Itself,I Didn't Mean To,California - LA,218.93179,1,0.736,0,0.636,-11.197,92.198,4,0.778,0.247,196.0,185.0,70.0,119.0,38.0,97.0,21.0,51.0,42.0,43.0,90.0,18.0
1,1,blue-eyed soul,The Box Tops,Dimensions,Soul Deep,"Memphis, TN",148.03546,6,0.169,0,0.43,-9.843,121.274,4,0.384,0.148,172.0,63.0,68.0,36.0,25.0,59.0,5.0,36.0,34.0,15.0,32.0,4.0
2,2,latin,Sonora Santanera,Las Numero 1 De La Sonora Santanera,Amor De Cabaret,,177.47546,8,0.643,1,0.565,-9.689,100.07,1,0.0,0.282,167.0,105.0,43.0,51.0,23.0,27.0,38.0,38.0,23.0,23.0,21.0,2.0
3,3,glam rock,Adam Ant,Friend Or Foe,Something Girls,"London, England",233.40363,0,0.751,1,0.749,-9.013,119.293,4,0.0,0.0,356.0,78.0,77.0,54.0,65.0,65.0,13.0,47.0,6.0,21.0,13.0,25.0
4,4,alternative metal,Gob,Muertos Vivos,Face the Ashes,,209.60608,2,0.092,1,0.371,-4.501,129.738,4,0.562,0.066,263.0,63.0,65.0,34.0,27.0,108.0,20.0,36.0,29.0,24.0,3.0,0.0
5,5,gospel,Jeff And Sheri Easter,Ordinary Day,The Moon And I (Ordinary Day Album Version),,267.7024,5,0.635,1,0.557,-9.323,147.782,3,0.454,2.264,426.0,48.0,57.0,30.0,48.0,114.0,20.0,13.0,16.0,32.0,25.0,5.0
6,6,0,Rated R,Da Ghetto Psychic,Keepin It Real (Skit),Ohio,114.78159,1,0.0,1,0.0,-17.302,111.787,1,0.0,0.096,67.0,92.0,58.0,48.0,34.0,30.0,31.0,28.0,32.0,24.0,18.0,18.0
7,7,0,Tweeterfriendly Music,Gin & Phonic,Drop of Rain,"Burlington, Ontario, Canada",189.57016,4,0.0,0,0.16,-11.642,101.43,3,0.408,0.319,320.0,52.0,50.0,25.0,16.0,24.0,8.0,21.0,8.0,17.0,5.0,41.0
8,8,new wave,Planet P Project,Pink World,Pink World,,269.81832,4,0.717,1,0.652,-13.496,86.643,4,0.487,5.3,386.0,56.0,72.0,59.0,97.0,70.0,16.0,74.0,19.0,38.0,10.0,14.0
9,9,0,Clp,Superinstrumental,Insatiable (Instrumental Version),,266.39628,7,0.053,0,0.473,-6.697,114.041,4,0.878,0.084,364.0,79.0,55.0,72.0,69.0,46.0,7.0,11.0,223.0,354.0,121.0,4.0
10,10,country rock,JennyAnyKind,I Need You,Young Boy Blues,North Carolina,218.77506,5,0.354,0,0.485,-10.021,146.765,1,0.0,2.125,318.0,105.0,118.0,52.0,30.0,11.0,21.0,9.0,2.0,9.0,20.0,3.0
11,11,pop,Wayne Watson,The Way Home,The Urgency (LP Version),"Wisner, LA",245.21098,7,0.07,1,0.686,-7.545,117.975,4,0.835,0.357,260.0,77.0,129.0,42.0,42.0,67.0,28.0,66.0,20.0,60.0,1.0,0.0
12,12,bachata,Andy Andy,Placer & Castigo,La Culpa,,226.35057,9,0.205,1,0.305,-6.632,130.04,4,0.0,0.0,304.0,84.0,96.0,87.0,37.0,123.0,19.0,68.0,60.0,32.0,45.0,15.0
13,13,pop,Bob Azzam,Arrivederci,Auguri Cha Cha,,191.84281,10,0.0,0,0.198,-7.75,137.334,1,0.319,0.38,278.0,78.0,47.0,37.0,34.0,164.0,19.0,7.0,16.0,7.0,16.0,16.0
14,14,contemporary r&b,Lionel Richie,Dancing On The Ceiling,Tonight Will Be Alright,"Beverly Hills, CA",307.3824,3,0.524,1,0.533,-8.346,125.197,3,0.211,0.612,347.0,206.0,107.0,105.0,28.0,82.0,119.0,21.0,26.0,14.0,7.0,0.0
15,15,country rock,Blue Rodeo,Outskirts,Floating,"Toronto, Ontario, Canada",491.12771,7,1.0,1,0.829,-8.576,119.826,4,0.756,0.0,524.0,106.0,220.0,88.0,74.0,110.0,54.0,242.0,26.0,161.0,3.0,19.0
16,16,new age,Richard Souther,Cross Currents,High Tide,United States,228.5971,8,0.041,1,0.516,-16.11,127.756,5,0.579,0.223,468.0,101.0,93.0,25.0,42.0,65.0,22.0,76.0,7.0,15.0,17.0,14.0
