,Artist Name,Release,Song Title,Artist Location,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
0,Casual,Fear Itself,I Didn't Mean To,California - LA,218.93179,1,0.736,0,0.636,-11.197,92.198,4,0.778,0.247,196.0,185.0,70.0,119.0,38.0,97.0,21.0,51.0,42.0,43.0,90.0,18.0
1,The Box Tops,Dimensions,Soul Deep,"Memphis, TN",148.03546,6,0.169,0,0.43,-9.843,121.274,4,0.384,0.148,172.0,63.0,68.0,36.0,25.0,59.0,5.0,36.0,34.0,15.0,32.0,4.0
2,Sonora Santanera,Las Numero 1 De La Sonora Santanera,Amor De Cabaret,,177.47546,8,0.643,1,0.565,-9.689,100.07,1,0.0,0.282,167.0,105.0,43.0,51.0,23.0,27.0,38.0,38.0,23.0,23.0,21.0,2.0
3,Adam Ant,Friend Or Foe,Something Girls,"London, England",233.40363,0,0.751,1,0.749,-9.013,119.293,4,0.0,0.0,356.0,78.0,77.0,54.0,65.0,65.0,13.0,47.0,6.0,21.0,13.0,25.0
4,Gob,Muertos Vivos,Face the Ashes,,209.60608,2,0.092,1,0.371,-4.501,129.738,4,0.562,0.066,263.0,63.0,65.0,34.0,27.0,108.0,20.0,36.0,29.0,24.0,3.0,0.0
5,Jeff And Sheri Easter,Ordinary Day,The Moon And I (Ordinary Day Album Version),,267.7024,5,0.635,1,0.557,-9.323,147.782,3,0.454,2.264,426.0,48.0,57.0,30.0,48.0,114.0,20.0,13.0,16.0,32.0,25.0,5.0
6,Rated R,Da Ghetto Psychic,Keepin It Real (Skit),Ohio,114.78159,1,0.0,1,0.0,-17.302,111.787,1,0.0,0.096,67.0,92.0,58.0,48.0,34.0,30.0,31.0,28.0,32.0,24.0,18.0,18.0
7,Tweeterfriendly Music,Gin & Phonic,Drop of Rain,"Burlington, Ontario, Canada",189.57016,4,0.0,0,0.16,-11.642,101.43,3,0.408,0.319,320.0,52.0,50.0,25.0,16.0,24.0,8.0,21.0,8.0,17.0,5.0,41.0
8,Planet P Project,Pink World,Pink World,,269.81832,4,0.717,1,0.652,-13.496,86.643,4,0.487,5.3,386.0,56.0,72.0,59.0,97.0,70.0,16.0,74.0,19.0,38.0,10.0,14.0
9,Clp,Superinstrumental,Insatiable (Instrumental Version),,266.39628,7,0.053,0,0.473,-6.697,114.041,4,0.878,0.084,364.0,79.0,55.0,72.0,69.0,46.0,7.0,11.0,223.0,354.0,121.0,4.0
