MB Genre,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
ambient,258.87302,7,0.798,1,0.903,-14.647,99.587,4,0.529,0.0,151.0,110.0,84.0,65.0,48.0,190.0,75.0,49.0,38.0,37.0,43.0,22.0
alternative rock,205.66159,2,0.021,1,0.38,-7.119,94.082,4,0.954,0.734,330.0,119.0,51.0,38.0,23.0,218.0,39.0,32.0,22.0,5.0,2.0,0.0
country,245.36771,5,0.989,1,0.676,-4.536,160.786,4,0.335,2.101,406.0,27.0,45.0,30.0,16.0,62.0,14.0,31.0,8.0,30.0,24.0,4.0
electronic,233.42975,10,0.747,0,0.569,-6.209,220.031,4,1.0,0.102,300.0,250.0,107.0,83.0,21.0,41.0,39.0,96.0,49.0,30.0,51.0,22.0
rock,194.61179,0,0.063,0,0.299,-7.683,110.178,4,0.917,0.386,247.0,123.0,91.0,42.0,36.0,60.0,28.0,48.0,28.0,27.0,31.0,11.0
black metal,419.97016,9,0.395,0,0.296,-4.012,156.15,4,0.713,0.724,167.0,47.0,62.0,40.0,25.0,22.0,14.0,44.0,6.0,23.0,2.0,19.0
blues,254.56281,7,0.817,1,0.683,-5.208,150.013,4,0.918,0.0,220.0,107.0,167.0,82.0,53.0,29.0,13.0,70.0,23.0,95.0,11.0,47.0
country,294.47791,2,0.768,1,0.678,-6.112,107.836,3,1.0,0.2,372.0,102.0,77.0,56.0,58.0,104.0,16.0,66.0,29.0,34.0,16.0,17.0
rock,376.08444,1,0.569,1,0.461,-10.203,126.955,4,1.0,2.183,484.0,131.0,89.0,59.0,61.0,109.0,47.0,40.0,31.0,11.0,9.0,2.0
electronic,327.83628,0,0.569,0,0.741,-11.718,115.633,4,1.0,4.023,375.0,115.0,119.0,120.0,23.0,80.0,35.0,62.0,160.0,15.0,29.0,16.0
alternative rock,221.41342,5,0.915,1,0.737,-7.603,122.002,4,0.909,0.51,319.0,53.0,71.0,37.0,109.0,85.0,46.0,46.0,14.0,36.0,22.0,6.0
country,195.082,10,0.368,1,0.429,-14.883,76.161,3,0.753,1.055,164.0,71.0,75.0,30.0,20.0,31.0,18.0,23.0,22.0,17.0,26.0,7.0
ballad,228.362,9,0.59,1,0.625,-11.126,88.02,4,0.91,0.381,263.0,72.0,72.0,63.0,31.0,64.0,12.0,49.0,33.0,18.0,16.0,3.0
jazz,210.33751,8,0.585,1,0.711,-8.901,95.87,4,0.367,0.0,233.0,102.0,99.0,51.0,35.0,50.0,47.0,125.0,34.0,46.0,16.0,2.0
gangsta rap,377.86077,8,0.383,0,0.473,-6.893,121.957,4,1.0,0.0,711.0,320.0,189.0,126.0,53.0,105.0,56.0,73.0,123.0,36.0,36.0,28.0
alternative metal,239.35955,8,0.772,1,0.637,-4.994,96.941,4,1.0,0.0,198.0,25.0,72.0,34.0,32.0,49.0,25.0,97.0,34.0,10.0,18.0,7.0
alternative rock,217.88689,5,0.221,0,0.471,-10.962,168.027,4,0.371,0.0,225.0,60.0,96.0,57.0,38.0,67.0,15.0,46.0,20.0,7.0,13.0,3.0
country,180.32281,7,0.747,1,0.604,-19.397,104.0,3,0.873,0.176,159.0,82.0,70.0,24.0,28.0,11.0,9.0,17.0,8.0,17.0,7.0,12.0
ballad,221.962,3,0.449,1,0.579,-9.607,138.033,4,0.384,1.095,352.0,67.0,102.0,58.0,35.0,76.0,21.0,72.0,39.0,12.0,16.0,2.0
blues,264.6722,10,0.032,1,0.38,-7.611,147.128,4,0.631,0.166,403.0,28.0,165.0,49.0,50.0,88.0,12.0,123.0,4.0,55.0,38.0,7.0
ambient,279.90159,10,0.277,0,0.311,-5.241,220.181,4,1.0,0.0,360.0,218.0,38.0,36.0,65.0,82.0,88.0,81.0,23.0,147.0,113.0,33.0
blues,331.33669,4,0.258,0,0.366,-11.861,118.188,4,0.528,0.0,423.0,61.0,263.0,70.0,109.0,70.0,16.0,96.0,13.0,85.0,11.0,48.0
pop,206.21016,11,0.567,1,0.601,-12.146,139.914,4,0.074,0.241,267.0,68.0,78.0,39.0,21.0,32.0,12.0,34.0,5.0,3.0,9.0,0.0
hip hop,261.11955,2,0.624,1,0.51,-6.712,130.729,4,0.363,0.0,403.0,240.0,66.0,53.0,35.0,49.0,27.0,28.0,43.0,68.0,55.0,7.0
reggae,240.95302,7,0.441,0,0.468,-10.372,182.705,4,1.0,0.0,169.0,165.0,159.0,50.0,70.0,52.0,6.0,10.0,20.0,61.0,22.0,4.0
electronic,390.00771,6,0.001,1,0.083,-5.286,130.039,4,0.638,0.0,179.0,178.0,119.0,122.0,258.0,131.0,107.0,69.0,66.0,298.0,107.0,131.0
classical,289.4624,8,0.127,1,0.802,-22.104,104.667,4,1.0,0.194,331.0,56.0,19.0,35.0,49.0,41.0,16.0,6.0,1.0,6.0,0.0,0.0
blues,153.73016,3,0.46,1,0.547,-9.675,81.626,7,0.793,0.305,153.0,88.0,67.0,41.0,44.0,15.0,15.0,14.0,8.0,21.0,8.0,0.0
jazz,285.98812,4,0.222,0,0.264,-12.853,84.825,4,0.874,3.199,262.0,142.0,124.0,68.0,46.0,78.0,33.0,71.0,50.0,33.0,20.0,14.0
hip hop,230.53016,4,0.557,1,0.434,-4.213,127.779,5,1.0,0.0,249.0,194.0,171.0,79.0,51.0,56.0,20.0,23.0,22.0,14.0,36.0,13.0
ballad,235.96363,7,0.207,1,0.406,-3.723,98.001,4,1.0,0.0,241.0,121.0,161.0,107.0,73.0,94.0,78.0,77.0,53.0,61.0,10.0,8.0
blues,346.8273,10,0.081,1,0.346,-9.64,90.102,7,0.932,0.355,534.0,142.0,108.0,55.0,74.0,48.0,18.0,13.0,34.0,46.0,33.0,23.0
pop,246.20363,8,0.709,0,0.622,-6.945,104.994,4,0.545,0.473,278.0,175.0,120.0,123.0,100.0,96.0,47.0,37.0,37.0,22.0,33.0,29.0
blues,236.35546,3,0.645,0,0.514,-7.186,110.1,4,0.964,2.252,349.0,70.0,151.0,75.0,28.0,86.0,26.0,21.0,34.0,6.0,35.0,18.0
hip hop,218.93179,1,0.736,0,0.636,-11.197,92.198,4,0.778,0.247,196.0,185.0,70.0,119.0,38.0,97.0,21.0,51.0,42.0,43.0,90.0,18.0
pop,222.69342,10,0.763,0,0.724,-8.209,105.95,4,0.85,0.0,333.0,21.0,84.0,37.0,32.0,107.0,5.0,16.0,5.0,6.0,7.0,1.0
country,116.21832,9,0.673,1,0.648,-19.365,90.726,3,0.88,0.0,78.0,49.0,21.0,21.0,28.0,23.0,6.0,17.0,7.0,7.0,7.0,3.0
disco,266.94485,10,0.113,0,0.341,-6.694,128.407,4,0.814,1.048,228.0,132.0,104.0,86.0,43.0,143.0,48.0,56.0,42.0,71.0,57.0,18.0
alternative rock,214.41261,5,0.685,0,0.628,-7.711,76.549,3,0.603,3.117,403.0,83.0,28.0,53.0,71.0,118.0,20.0,22.0,19.0,13.0,28.0,18.0
rock,267.33669,7,1.0,1,0.787,-4.732,111.865,4,1.0,0.0,210.0,138.0,116.0,34.0,37.0,71.0,45.0,79.0,35.0,40.0,10.0,8.0
electronic,165.11955,7,0.872,1,0.629,-3.519,147.003,4,0.265,2.699,191.0,36.0,38.0,52.0,73.0,150.0,13.0,137.0,6.0,32.0,1.0,4.0
blues,190.56281,2,0.815,1,0.631,-10.548,89.966,4,1.0,0.0,211.0,62.0,55.0,26.0,29.0,41.0,6.0,62.0,5.0,10.0,9.0,20.0
country,140.69506,0,0.811,1,0.848,-12.361,99.66,5,0.757,0.311,100.0,22.0,29.0,16.0,27.0,27.0,4.0,22.0,1.0,6.0,1.0,7.0
heavy metal,179.17342,0,0.588,1,0.663,-4.011,136.021,4,0.573,0.34,341.0,198.0,19.0,17.0,6.0,6.0,15.0,24.0,13.0,18.0,29.0,11.0
alternative metal,208.66567,5,0.118,0,0.256,-3.639,138.536,4,0.547,0.0,209.0,34.0,56.0,30.0,25.0,40.0,15.0,72.0,10.0,5.0,5.0,2.0
breakbeat,339.90485,11,0.451,0,0.5,-7.272,111.071,4,1.0,0.0,455.0,348.0,135.0,82.0,102.0,108.0,98.0,56.0,101.0,87.0,28.0,18.0
hip hop,221.04771,10,0.468,0,0.421,-7.602,92.962,4,0.494,0.0,185.0,125.0,104.0,79.0,71.0,60.0,46.0,33.0,42.0,50.0,91.0,38.0
hip hop,266.84036,1,0.555,0,0.492,-4.919,87.525,4,1.0,0.165,153.0,139.0,166.0,174.0,126.0,103.0,69.0,80.0,105.0,17.0,13.0,8.0
